,ID,country,age_group,total_female,total_male,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_Arba_minch,night_Gamo_Gofa,first_trip_tz,total_cost,peak_period,is_african,total_persons,total_nights_spent,arrangement_Package Tour,travel_with_Children,travel_with_Friends/Relatives,travel_with_None,travel_with_Spouse,travel_with_Spouse and Children,purpose_Leisure and Holidays,purpose_Meetings and Conference,purpose_Other,purpose_Scientific and Academic,purpose_Visiting Friends and Relatives,purpose_Volunteering,main_activity_Bird watching,main_activity_Conference tourism,main_activity_Cultural tourism,main_activity_Diving and Sport Fishing,main_activity_Hunting tourism,main_activity_Mountain climbing,main_activity_Wildlife tourism,main_activity_business,"info_source_Friends, relatives","info_source_Newspaper, magazines,brochures","info_source_Radio, TV, Web",info_source_Trade fair,"info_source_Travel, agent, tour operator",info_source_inflight magazines,info_source_others,most_impressing_Excellent Experience,most_impressing_Friendly People,most_impressing_Good service,most_impressing_No comments,most_impressing_None,most_impressing_Satisfies and Hope Come Back,"most_impressing_Wonderful Country, Landscape, Nature",payment_mode_Credit Card,payment_mode_Other,payment_mode_Travellers Cheque
40,1048,111,3,1.0,1.0,0,0,0,0,0,0,0,10.0,0.0,0,828750.0,0,0,2.0,10.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,1049,111,2,0.0,3.0,0,0,0,0,0,0,0,29.0,0.0,0,28450500.0,0,0,3.0,29.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,105,50,2,1.0,0.0,0,0,0,0,0,0,0,27.0,2.0,1,745875.0,0,0,1.0,29.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43,1050,17,0,0.0,1.0,0,0,0,0,0,0,0,34.0,4.0,1,3273562.5,1,0,1.0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,1051,112,3,1.0,1.0,0,0,0,0,0,0,0,0.0,5.0,1,3397875.0,1,0,2.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
45,1052,111,3,0.0,1.0,0,0,0,0,0,0,0,20.0,0.0,1,6132750.0,0,0,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
46,1054,100,3,0.0,1.0,1,1,1,1,0,0,0,10.0,7.0,0,4992526.0,0,0,1.0,17.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,1055,73,2,1.0,1.0,0,0,0,0,0,0,0,10.0,4.0,1,1588531.0,1,0,2.0,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,1057,33,2,1.0,2.0,1,1,1,1,1,1,1,4.0,3.0,1,34039950.0,1,0,3.0,7.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
49,1058,107,2,0.0,1.0,0,0,0,0,0,0,0,7.0,1.0,0,1657500.0,0,0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,1059,111,2,0.0,1.0,0,0,0,0,0,0,0,1.0,30.0,0,2845050.0,1,0,1.0,31.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,1060,108,2,2.0,1.0,0,0,0,0,0,0,0,12.0,5.0,0,1000000.0,0,1,3.0,17.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,1061,45,2,1.0,0.0,0,0,0,0,0,0,0,60.0,7.0,1,712725.0,1,0,1.0,67.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,1062,101,0,1.0,0.0,0,0,0,0,0,0,0,30.0,2.0,1,900000.0,0,0,1.0,32.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,1063,96,2,1.0,1.0,0,1,1,1,0,0,0,1.0,6.0,0,13615980.0,1,0,2.0,7.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,1065,112,2,1.0,0.0,0,0,0,0,0,0,0,5.0,0.0,1,1491750.0,0,0,1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,1066,33,4,1.0,1.0,0,0,0,0,0,0,0,56.0,0.0,1,2269330.0,0,0,2.0,56.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,1067,111,3,2.0,3.0,0,0,0,0,0,0,0,24.0,6.0,0,33150000.0,0,0,5.0,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,1068,112,2,0.0,1.0,0,0,0,0,0,0,0,0.0,3.0,0,1657500.0,1,0,1.0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
59,107,35,3,0.0,2.0,0,0,0,0,0,0,0,4.0,0.0,0,2000000.0,0,0,2.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,1070,96,3,1.0,0.0,1,1,1,0,1,1,1,11.0,3.0,1,6807990.0,1,0,1.0,14.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1071,108,2,1.0,1.0,0,0,0,0,0,0,0,5.0,0.0,1,700000.0,0,1,2.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,1072,96,3,1.0,1.0,1,1,1,1,0,0,1,4.0,2.0,1,15885310.0,1,0,2.0,6.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63,1073,50,2,1.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1,90000.0,0,0,2.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
64,1074,33,2,0.0,1.0,0,0,0,0,0,0,0,3.0,0.0,1,400000.0,1,0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,1076,33,2,1.0,4.0,1,0,1,1,1,1,1,7.0,7.0,1,9945000.0,1,0,5.0,14.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66,1078,3,2,0.0,2.0,0,1,0,0,0,1,0,9.0,2.0,1,19890000.0,1,0,2.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,1079,35,0,2.0,2.0,0,0,0,0,0,0,0,22.0,0.0,1,2269330.0,0,0,4.0,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,108,111,2,2.0,2.0,1,1,1,0,0,0,0,3.0,0.0,0,16773900.0,0,0,4.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
69,1080,111,2,1.0,1.0,1,1,1,1,1,1,0,6.0,4.0,1,1989000.0,1,0,2.0,10.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70,1081,95,2,0.0,2.0,0,0,0,0,0,0,0,3.0,0.0,1,331500.0,0,1,2.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
71,1082,111,3,1.0,0.0,0,0,0,0,0,0,0,120.0,0.0,0,1422525.0,0,0,1.0,120.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,1083,112,0,2.0,2.0,0,0,0,0,0,0,0,50.0,0.0,1,5801250.0,1,0,4.0,50.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1085,95,2,0.0,1.0,0,0,0,0,0,0,0,10.0,0.0,0,165750.0,0,1,1.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
74,1086,112,2,1.0,0.0,0,0,0,0,0,0,0,12.0,0.0,1,2652000.0,1,0,1.0,12.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
75,1088,115,3,1.0,2.0,0,0,0,0,0,0,0,14.0,0.0,0,248625.0,0,0,3.0,14.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,109,47,2,1.0,1.0,1,1,0,0,0,0,0,7.0,6.0,1,9077320.0,1,0,2.0,13.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,1090,112,3,1.0,1.0,0,0,0,0,0,0,0,6.0,0.0,1,1193400.0,0,0,2.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
78,1092,111,0,0.0,1.0,0,0,0,0,0,0,0,45.0,0.0,1,331500.0,0,0,1.0,45.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,1095,47,3,1.0,1.0,0,0,0,0,0,0,0,4.0,0.0,1,1989000.0,1,0,2.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,1096,73,2,1.0,0.0,0,0,0,0,0,0,0,30.0,0.0,1,2269330.0,0,0,1.0,30.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,1097,95,2,0.0,1.0,0,0,0,0,0,0,0,3.0,7.0,1,1823250.0,1,1,1.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,1098,95,2,0.0,2.0,0,0,0,0,0,0,0,1.0,0.0,0,414375.0,0,1,2.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,1099,96,2,1.0,1.0,0,0,0,0,0,0,0,15.0,7.0,1,8287500.0,1,0,2.0,22.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,11,35,2,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,0,165750.0,0,0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,1102,108,2,0.0,1.0,0,0,0,0,0,0,0,60.0,2.0,0,4966000.0,0,1,1.0,62.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1103,74,0,0.0,1.0,0,0,0,0,0,0,0,2.0,1.0,0,1657500.0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,1104,3,3,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,0,70000.0,0,0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,1107,112,2,0.0,2.0,0,0,0,0,0,0,0,11.0,0.0,0,4972500.0,1,0,2.0,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1108,73,2,2.0,2.0,0,0,0,0,0,0,0,90.0,0.0,0,100000.0,0,0,4.0,90.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,1109,6,3,1.0,1.0,0,0,0,0,0,0,0,5.0,0.0,1,1400000.0,0,0,2.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
91,1110,25,4,2.0,2.0,1,1,0,1,1,1,0,14.0,0.0,0,9892025.0,1,0,4.0,14.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1111,112,2,1.0,1.0,0,1,1,0,1,1,0,9.0,5.0,1,16575000.0,1,0,2.0,14.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,1115,111,2,0.0,1.0,0,0,0,0,0,0,0,14.0,0.0,0,2403375.0,0,0,1.0,14.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,1116,96,2,1.0,1.0,1,1,1,1,0,1,0,6.0,2.0,1,7375875.0,1,0,2.0,8.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
95,1118,77,0,4.0,0.0,1,1,1,1,1,1,0,11.0,6.0,1,7261380.0,1,0,4.0,17.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
