,ID,country,age_group,total_female,total_male,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_Arba_minch,night_Gamo_Gofa,first_trip_tz,total_cost,peak_period,is_african,total_persons,total_nights_spent,tour_arrangement_Package Tour,travel_with_Children,travel_with_Friends/Relatives,travel_with_None,travel_with_Spouse,travel_with_Spouse and Children,purpose_Leisure and Holidays,purpose_Meetings and Conference,purpose_Other,purpose_Scientific and Academic,purpose_Visiting Friends and Relatives,purpose_Volunteering,main_activity_Bird watching,main_activity_Conference tourism,main_activity_Cultural tourism,main_activity_Diving and Sport Fishing,main_activity_Hunting tourism,main_activity_Mountain climbing,main_activity_Wildlife tourism,main_activity_business,"info_source_Friends, relatives","info_source_Newspaper, magazines,brochures","info_source_Radio, TV, Web",info_source_Trade fair,"info_source_Travel, agent, tour operator",info_source_inflight magazines,info_source_others,most_impressing_Excellent Experience,most_impressing_Friendly People,most_impressing_Good service,most_impressing_No comments,most_impressing_None,most_impressing_Satisfies and Hope Come Back,"most_impressing_Wonderful Country, Landscape, Nature",payment_mode_Credit Card,payment_mode_Other,payment_mode_Travellers Cheque
10,tour_1012,10,2,1.0,1.0,0,0,0,0,0,0,0,17.0,3.0,1,1117155.0,1,0,2.0,20.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11,tour_1013,14,3,2.0,0.0,0,0,0,0,0,0,0,30.0,0.0,0,8121750.0,1,0,2.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,tour_1016,14,3,0.0,2.0,0,0,0,0,0,0,0,11.0,3.0,1,331500.0,1,0,2.0,14.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13,tour_1017,64,2,2.0,0.0,1,1,1,1,0,0,0,10.0,0.0,1,11346650.0,1,0,2.0,10.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,tour_1018,69,2,0.0,1.0,0,0,0,0,0,0,0,2.0,0.0,1,497250.0,0,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,tour_102,87,4,1.0,0.0,0,0,0,0,0,0,0,0.0,2.0,1,331500.0,1,1,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,tour_1021,4,3,4.0,1.0,0,0,0,0,0,0,0,24.0,0.0,0,2000000.0,0,0,5.0,24.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,tour_1022,70,2,1.0,0.0,0,0,0,0,0,0,0,5.0,0.0,1,331500.0,0,0,1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,tour_1024,35,2,1.0,1.0,0,0,0,0,0,0,0,3.0,0.0,1,2269330.0,0,0,2.0,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,tour_1026,51,2,1.0,0.0,0,0,0,0,0,0,0,4.0,0.0,0,377520.0,0,1,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,tour_1027,111,0,1.0,0.0,0,0,0,0,0,0,0,70.0,0.0,1,711262.5,0,0,1.0,70.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,tour_1028,51,3,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,1,497250.0,0,1,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,tour_1029,101,3,1.0,1.0,1,1,0,0,0,0,0,10.0,0.0,0,7458750.0,1,0,2.0,10.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23,tour_103,0,2,1.0,1.0,0,0,0,0,0,0,0,0.0,11.0,1,3734347.5,1,1,2.0,11.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,tour_1030,45,0,1.0,1.0,0,0,0,0,0,0,0,20.0,6.0,1,5673325.0,1,0,2.0,26.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
25,tour_1032,25,0,2.0,2.0,0,0,0,0,0,0,0,15.0,7.0,1,400000.0,0,0,4.0,22.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,tour_1033,111,2,0.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1,663000.0,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
27,tour_1034,35,0,1.0,0.0,0,0,0,0,0,0,0,24.0,4.0,1,453866.0,1,0,1.0,28.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,tour_1035,96,3,3.0,1.0,1,1,1,1,1,1,1,4.0,4.0,1,25442625.0,1,0,4.0,8.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,tour_1036,33,0,0.0,1.0,0,1,1,1,1,1,1,11.0,3.0,1,6961500.0,1,0,1.0,14.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30,tour_1038,111,0,0.0,1.0,0,0,0,0,0,0,0,56.0,0.0,0,1707030.0,0,0,1.0,56.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
31,tour_1039,111,3,1.0,0.0,0,0,0,0,0,0,0,12.0,0.0,0,5690100.0,0,0,1.0,12.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,tour_104,47,3,2.0,0.0,1,1,1,0,1,0,0,6.0,5.0,1,2652000.0,1,0,2.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,tour_1040,29,0,0.0,1.0,1,1,0,0,0,0,0,2.0,0.0,1,2320500.0,0,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,tour_1041,111,3,1.0,0.0,0,0,0,0,0,0,0,11.0,0.0,0,4267575.0,0,0,1.0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,tour_1042,84,2,2.0,2.0,1,1,1,1,1,1,0,13.0,10.0,0,17316000.0,1,0,4.0,23.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,tour_1043,69,0,1.0,0.0,0,0,0,0,0,0,0,3.0,0.0,1,663000.0,0,1,1.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,tour_1045,51,3,1.0,0.0,1,1,0,0,0,0,0,5.0,0.0,0,3812250.0,0,1,1.0,5.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38,tour_1046,17,2,1.0,0.0,0,0,0,0,0,0,0,2.0,0.0,0,828750.0,1,0,1.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
39,tour_1047,62,2,0.0,1.0,0,0,0,0,0,0,0,21.0,0.0,0,3000000.0,0,1,1.0,21.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
40,tour_1048,111,3,1.0,1.0,0,0,0,0,0,0,0,10.0,0.0,0,828750.0,0,0,2.0,10.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,tour_1049,111,2,0.0,3.0,0,0,0,0,0,0,0,29.0,0.0,0,28450500.0,0,0,3.0,29.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,tour_105,50,2,1.0,0.0,0,0,0,0,0,0,0,27.0,2.0,1,745875.0,0,0,1.0,29.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
43,tour_1050,17,0,0.0,1.0,0,0,0,0,0,0,0,34.0,4.0,1,3273562.5,1,0,1.0,38.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,tour_1051,112,3,1.0,1.0,0,0,0,0,0,0,0,0.0,5.0,1,3397875.0,1,0,2.0,5.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
45,tour_1052,111,3,0.0,1.0,0,0,0,0,0,0,0,20.0,0.0,1,6132750.0,0,0,1.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
46,tour_1054,100,3,0.0,1.0,1,1,1,1,0,0,0,10.0,7.0,0,4992526.0,0,0,1.0,17.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
47,tour_1055,73,2,1.0,1.0,0,0,0,0,0,0,0,10.0,4.0,1,1588531.0,1,0,2.0,14.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
48,tour_1057,33,2,1.0,2.0,1,1,1,1,1,1,1,4.0,3.0,1,34039950.0,1,0,3.0,7.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
49,tour_1058,107,2,0.0,1.0,0,0,0,0,0,0,0,7.0,1.0,0,1657500.0,0,0,1.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,tour_1059,111,2,0.0,1.0,0,0,0,0,0,0,0,1.0,30.0,0,2845050.0,1,0,1.0,31.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51,tour_1060,108,2,2.0,1.0,0,0,0,0,0,0,0,12.0,5.0,0,1000000.0,0,1,3.0,17.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,tour_1061,45,2,1.0,0.0,0,0,0,0,0,0,0,60.0,7.0,1,712725.0,1,0,1.0,67.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,tour_1062,101,0,1.0,0.0,0,0,0,0,0,0,0,30.0,2.0,1,900000.0,0,0,1.0,32.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,tour_1063,96,2,1.0,1.0,0,1,1,1,0,0,0,1.0,6.0,0,13615980.0,1,0,2.0,7.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,tour_1065,112,2,1.0,0.0,0,0,0,0,0,0,0,5.0,0.0,1,1491750.0,0,0,1.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
56,tour_1066,33,4,1.0,1.0,0,0,0,0,0,0,0,56.0,0.0,1,2269330.0,0,0,2.0,56.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,tour_1067,111,3,2.0,3.0,0,0,0,0,0,0,0,24.0,6.0,0,33150000.0,0,0,5.0,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,tour_1068,112,2,0.0,1.0,0,0,0,0,0,0,0,0.0,3.0,0,1657500.0,1,0,1.0,3.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
59,tour_107,35,3,0.0,2.0,0,0,0,0,0,0,0,4.0,0.0,0,2000000.0,0,0,2.0,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
60,tour_1070,96,3,1.0,0.0,1,1,1,0,1,1,1,11.0,3.0,1,6807990.0,1,0,1.0,14.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,tour_1071,108,2,1.0,1.0,0,0,0,0,0,0,0,5.0,0.0,1,700000.0,0,1,2.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,tour_1072,96,3,1.0,1.0,1,1,1,1,0,0,1,4.0,2.0,1,15885310.0,1,0,2.0,6.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
63,tour_1073,50,2,1.0,1.0,0,0,0,0,0,0,0,1.0,0.0,1,90000.0,0,0,2.0,1.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
64,tour_1074,33,2,0.0,1.0,0,0,0,0,0,0,0,3.0,0.0,1,400000.0,1,0,1.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,tour_1076,33,2,1.0,4.0,1,0,1,1,1,1,1,7.0,7.0,1,9945000.0,1,0,5.0,14.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66,tour_1078,3,2,0.0,2.0,0,1,0,0,0,1,0,9.0,2.0,1,19890000.0,1,0,2.0,11.0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,tour_1079,35,0,2.0,2.0,0,0,0,0,0,0,0,22.0,0.0,1,2269330.0,0,0,4.0,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,tour_108,111,2,2.0,2.0,1,1,1,0,0,0,0,3.0,0.0,0,16773900.0,0,0,4.0,3.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
69,tour_1080,111,2,1.0,1.0,1,1,1,1,1,1,0,6.0,4.0,1,1989000.0,1,0,2.0,10.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
70,tour_1081,95,2,0.0,2.0,0,0,0,0,0,0,0,3.0,0.0,1,331500.0,0,1,2.0,3.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
71,tour_1082,111,3,1.0,0.0,0,0,0,0,0,0,0,120.0,0.0,0,1422525.0,0,0,1.0,120.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,tour_1083,112,0,2.0,2.0,0,0,0,0,0,0,0,50.0,0.0,1,5801250.0,1,0,4.0,50.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,tour_1085,95,2,0.0,1.0,0,0,0,0,0,0,0,10.0,0.0,0,165750.0,0,1,1.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
74,tour_1086,112,2,1.0,0.0,0,0,0,0,0,0,0,12.0,0.0,1,2652000.0,1,0,1.0,12.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
75,tour_1088,115,3,1.0,2.0,0,0,0,0,0,0,0,14.0,0.0,0,248625.0,0,0,3.0,14.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
76,tour_109,47,2,1.0,1.0,1,1,0,0,0,0,0,7.0,6.0,1,9077320.0,1,0,2.0,13.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,tour_1090,112,3,1.0,1.0,0,0,0,0,0,0,0,6.0,0.0,1,1193400.0,0,0,2.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
78,tour_1092,111,0,0.0,1.0,0,0,0,0,0,0,0,45.0,0.0,1,331500.0,0,0,1.0,45.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,tour_1095,47,3,1.0,1.0,0,0,0,0,0,0,0,4.0,0.0,1,1989000.0,1,0,2.0,4.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,tour_1096,73,2,1.0,0.0,0,0,0,0,0,0,0,30.0,0.0,1,2269330.0,0,0,1.0,30.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,tour_1097,95,2,0.0,1.0,0,0,0,0,0,0,0,3.0,7.0,1,1823250.0,1,1,1.0,10.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,tour_1098,95,2,0.0,2.0,0,0,0,0,0,0,0,1.0,0.0,0,414375.0,0,1,2.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,tour_1099,96,2,1.0,1.0,0,0,0,0,0,0,0,15.0,7.0,1,8287500.0,1,0,2.0,22.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,tour_11,35,2,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,0,165750.0,0,0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,tour_1102,108,2,0.0,1.0,0,0,0,0,0,0,0,60.0,2.0,0,4966000.0,0,1,1.0,62.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,tour_1103,74,0,0.0,1.0,0,0,0,0,0,0,0,2.0,1.0,0,1657500.0,0,0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,tour_1104,3,3,0.0,1.0,0,0,0,0,0,0,0,4.0,0.0,0,70000.0,0,0,1.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,tour_1107,112,2,0.0,2.0,0,0,0,0,0,0,0,11.0,0.0,0,4972500.0,1,0,2.0,11.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,tour_1108,73,2,2.0,2.0,0,0,0,0,0,0,0,90.0,0.0,0,100000.0,0,0,4.0,90.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90,tour_1109,6,3,1.0,1.0,0,0,0,0,0,0,0,5.0,0.0,1,1400000.0,0,0,2.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
91,tour_1110,25,4,2.0,2.0,1,1,0,1,1,1,0,14.0,0.0,0,9892025.0,1,0,4.0,14.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,tour_1111,112,2,1.0,1.0,0,1,1,0,1,1,0,9.0,5.0,1,16575000.0,1,0,2.0,14.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,tour_1115,111,2,0.0,1.0,0,0,0,0,0,0,0,14.0,0.0,0,2403375.0,0,0,1.0,14.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
